#tor_pair_id,src,dst,pdf_num_bytes
0,1246,1100,7.9442e-08
1,381,392,3.0585e-06
2,1693,1683,3.9721e-08
3,609,621,9.9210e-05
4,494,217,1.1916e-07
5,132,420,2.7805e-07
6,1075,932,2.2773e-06
7,1326,1592,3.9721e-08
8,464,476,9.9316e-05
9,104,115,3.2439e-06
10,1404,1524,3.9721e-08
11,655,776,7.9442e-08
12,362,505,2.8732e-06
13,774,330,3.9721e-08
14,1503,1504,9.7582e-05
15,369,81,3.5749e-07
16,422,421,9.7184e-05
17,265,110,4.5017e-07
18,657,668,3.3233e-06
19,1448,1185,3.9721e-08
20,507,207,1.5888e-07
21,1560,1563,3.9721e-08
22,454,586,2.5819e-06
23,327,472,3.6014e-06
24,184,26,3.9721e-08
25,1074,1063,2.9129e-06
26,156,192,3.9721e-08
27,511,668,2.7805e-07
28,1149,1270,1.3240e-07
29,1364,1388,1.1916e-07
30,481,601,2.3833e-07
31,1038,1337,3.9721e-08
32,1331,1329,1.1916e-07
33,86,240,3.9721e-08
34,951,820,5.6934e-07
35,1306,1317,3.9324e-06
36,466,479,2.2509e-06
37,826,683,3.3366e-06
38,593,748,4.5017e-07
39,351,244,7.9442e-08
40,1660,1658,1.9861e-07
41,118,129,3.2042e-06
42,1151,1265,3.9721e-08
43,28,185,4.5017e-07
44,1370,940,9.2683e-08
45,194,337,2.1052e-06
46,1137,1007,1.5888e-07
47,439,725,2.1185e-07
48,1324,1217,3.9721e-08
49,950,792,1.1916e-07
50,1370,360,3.9721e-08
51,1529,1541,9.8720e-05
52,353,496,2.9394e-06
53,1254,1386,3.2969e-06
54,99,244,3.7470e-06
55,649,313,3.9721e-08
56,1501,1527,3.9721e-08
57,514,611,3.9721e-08
58,1021,1165,9.8416e-05
59,1305,1172,6.3554e-07
60,883,896,2.3435e-06
61,311,443,2.8864e-06
62,592,435,1.1916e-07
63,666,678,9.9435e-05
64,1235,1067,7.9442e-08
65,1309,1008,9.2683e-08
66,1224,1092,3.4160e-06
67,1210,1051,3.9721e-08
68,1687,1567,1.1916e-07
69,753,886,4.2369e-07
70,1196,1050,1.8537e-07
71,1638,1375,9.2683e-08
72,956,931,1.1916e-07
73,1714,1415,1.3240e-08
74,1163,1175,1.0072e-04
75,965,559,3.9721e-08
76,1613,1447,3.9721e-08
77,211,236,7.9442e-08
78,705,548,4.8989e-07
79,377,212,3.9721e-08
80,213,346,5.4286e-07
81,70,81,3.4293e-06
82,1491,1477,3.9721e-08
83,1507,1604,3.9721e-08
84,1299,723,3.9721e-08
85,1608,1081,3.9721e-08
86,336,193,3.4690e-06
87,577,291,3.9721e-08
88,545,1145,3.9721e-08
89,192,207,3.9721e-08
90,209,341,2.1449e-06
91,475,764,3.9721e-08
92,1121,942,3.9721e-08
93,1372,1206,3.9721e-08
94,291,149,3.9721e-08
95,1234,1415,3.9721e-08
96,1049,1229,3.9721e-08
97,701,834,3.0453e-07
98,595,451,9.7767e-05
99,1471,1314,4.7665e-07
100,1328,1076,3.9721e-08
101,1387,1396,9.2683e-08
102,1420,1564,9.7847e-05
103,1579,1581,2.3833e-07
104,55,197,3.9721e-08
105,537,382,9.5331e-07
106,1466,1585,7.9442e-08
107,1452,1165,1.9861e-07
108,101,391,7.9442e-08
109,961,686,3.9721e-08
110,999,711,7.9442e-08
111,638,374,3.9721e-08
112,569,845,3.9721e-08
113,1233,1366,1.0857e-06
114,622,199,3.9721e-08
115,940,796,9.7767e-05
116,1200,1357,5.8258e-07
117,194,172,9.2683e-08
118,580,459,3.9721e-08
119,414,399,3.9721e-08
120,791,1091,1.9861e-07
121,24,325,3.9721e-08
122,794,361,3.9721e-08
123,245,521,7.9442e-08
124,319,310,3.9721e-08
125,379,523,9.8204e-05
126,348,312,3.9721e-08
127,792,372,3.9721e-08
128,720,589,1.0725e-06
129,383,959,3.9721e-08
130,1527,1394,5.8258e-07
131,1312,1322,3.9721e-08
132,261,393,3.6146e-06
133,1381,1380,9.7396e-05
134,1088,1112,2.3833e-07
135,1185,1497,3.9721e-08
136,1051,945,7.9442e-08
137,44,467,3.9721e-08
138,505,805,7.9442e-08
139,1171,1050,3.9721e-08
140,503,225,3.9721e-08
141,438,307,5.8258e-07
142,498,486,9.8376e-05
143,1399,1088,3.9721e-08
144,413,281,2.6878e-06
145,1664,1385,7.9442e-08
146,1537,1693,3.9721e-06
147,855,422,3.9721e-08
148,200,356,2.9129e-06
149,1164,1189,7.9442e-08
150,440,467,3.9721e-08
151,1706,1430,3.9721e-08
152,1457,1638,7.9442e-08
153,663,831,7.9442e-08
154,671,991,3.9721e-08
155,1094,1537,3.9721e-08
156,1387,1545,1.3240e-07
157,391,536,3.6014e-06
158,640,44,3.9721e-08
159,218,72,7.9442e-08
160,665,655,3.9721e-08
161,1056,793,3.9721e-08
162,1297,1166,2.5157e-07
163,1278,845,3.9721e-08
164,989,966,3.9721e-08
165,1359,1528,7.9442e-08
166,19,6,2.5024e-06
167,1529,1373,3.4955e-06
168,259,535,3.9721e-08
169,828,1116,1.9861e-07
170,171,195,1.9861e-07
171,247,116,8.4739e-07
172,747,916,3.9721e-08
173,1245,1677,7.9442e-08
174,1049,930,1.7213e-07
175,1321,1093,3.9721e-08
176,1492,1358,3.9721e-08
177,1012,1296,3.9721e-08
178,687,556,6.0906e-07
179,959,779,7.9442e-08
180,757,745,9.7502e-05
181,52,17,3.9721e-08
182,1330,898,1.3240e-07
183,993,1125,2.6084e-06
184,322,335,3.7868e-06
185,351,24,3.9721e-08
186,1117,1380,3.9721e-08
187,986,998,9.9488e-05
188,1106,1227,3.9721e-08
189,1604,1630,3.9721e-08
190,1431,1554,7.9442e-08
191,919,510,3.9721e-08
192,633,619,1.1916e-07
193,460,449,3.6279e-06
194,1550,1392,3.9721e-08
195,688,676,9.8005e-05
196,619,584,7.9442e-08
197,1426,1006,3.9721e-08
198,674,651,7.9442e-08
199,1193,905,3.9721e-08
200,93,417,5.2962e-08
201,1382,1527,3.2969e-06
202,630,328,3.9721e-08
203,667,510,6.0906e-07
204,1552,1396,3.1777e-06
205,955,484,3.9721e-08
206,1088,1324,3.9721e-08
207,1017,1448,1.1916e-07
208,692,859,1.1916e-07
209,1398,1528,7.9442e-08
210,7,5,1.5888e-07
211,1033,589,3.9721e-08
212,1072,905,1.3240e-07
213,830,1001,3.9721e-08
214,279,125,3.9721e-08
215,763,454,3.9721e-08
216,1648,1372,1.1916e-07
217,1229,1521,3.9721e-08
218,514,502,9.7158e-05
219,1210,779,3.9721e-08
220,274,543,3.9721e-08
221,1127,1558,3.9721e-08
222,1080,795,3.9721e-08
223,818,928,3.9721e-08
224,1094,1417,3.9721e-08
225,857,702,5.9582e-07
226,795,926,9.4007e-07
227,1207,1194,3.7603e-06
228,766,1329,3.9721e-08
229,306,1188,3.9721e-08
230,255,243,9.7794e-05
231,610,478,2.6613e-06
232,59,332,3.9721e-08
233,6,725,3.9721e-08
234,506,508,1.5888e-07
235,1115,1127,9.9263e-05
236,905,784,1.5888e-07
237,391,261,7.9442e-08
238,1532,1505,3.9721e-08
239,1093,759,3.9721e-08
240,748,304,3.9721e-08
241,197,54,3.4690e-06
242,1507,1521,1.3240e-07
243,1619,1163,3.9721e-08
244,1645,1611,3.9721e-08
245,861,694,3.9721e-08
246,153,176,7.9442e-08
247,1133,1399,3.9721e-08
248,854,1144,3.9721e-08
249,1315,1014,7.9442e-08
250,1121,1280,3.9721e-08
251,543,832,1.1916e-07
252,1358,1228,3.9721e-08
253,867,723,9.8297e-05
254,962,985,7.9442e-08
255,798,1204,3.9721e-08
256,1441,1152,1.1916e-07
257,179,501,3.9721e-08
258,1706,1692,7.9442e-08
259,1390,1245,3.4293e-06
260,1263,1105,3.9721e-08
261,1360,1488,3.9721e-08
262,1492,1625,3.3101e-07
263,295,463,3.9721e-08
264,392,822,3.9721e-08
265,101,268,3.9721e-08
266,484,526,3.9721e-08
267,377,822,9.2683e-08
268,769,771,1.3240e-07
269,621,1521,3.9721e-08
270,1319,1618,3.9721e-08
271,388,386,3.9721e-08
272,1075,773,3.9721e-08
273,819,1253,3.9721e-08
274,1412,1281,7.6794e-07
275,68,106,3.9721e-08
276,1099,1122,3.9721e-08
277,806,808,1.1916e-07
278,914,1058,9.8098e-05
279,1656,1489,5.2962e-08
280,1188,769,3.9721e-08
281,1345,1358,2.9791e-06
282,1255,967,3.9721e-08
283,319,187,2.1979e-06
284,176,187,3.2969e-06
285,1654,1511,2.8732e-06
286,416,394,3.9721e-08
287,586,634,3.9721e-08
288,660,229,3.9721e-08
289,1543,1673,7.9442e-08
290,1384,1647,3.9721e-08
291,261,382,1.1916e-07
292,1324,436,3.9721e-08
293,946,1078,3.1909e-06
294,1494,1496,7.9442e-08
295,1469,1482,2.9261e-06
296,217,240,3.9721e-08
297,39,185,1.7213e-07
298,1090,1197,3.9721e-08
299,1704,1693,4.0516e-06
300,431,563,4.2369e-06
301,1189,1335,1.5888e-07
302,1083,796,3.9721e-08
303,1447,1603,2.7540e-06
304,1457,1299,7.9442e-08
305,80,69,4.2369e-06
306,651,819,3.9721e-08
307,1682,1528,7.9442e-08
308,1387,1410,3.9721e-08
309,105,406,1.1916e-07
310,605,748,3.2439e-06
311,677,664,2.8732e-06
312,912,1212,1.7213e-07
313,1447,484,3.9721e-08
314,458,590,3.5219e-06
315,230,901,3.9721e-08
316,665,532,7.9442e-08
317,815,526,3.9721e-08
318,377,630,3.9721e-08
319,393,249,9.8178e-05
320,967,835,3.2307e-06
321,734,602,3.6543e-06
322,517,240,3.9721e-08
323,789,635,3.9721e-08
324,1625,1350,1.1916e-07
325,298,166,2.7540e-06
326,1278,1431,3.9721e-08
327,65,209,9.8098e-05
328,1121,1096,2.3833e-07
329,549,559,1.1916e-07
330,1711,1289,3.9721e-08
331,535,524,3.0850e-06
332,1231,1363,3.7073e-06
333,1162,886,1.5888e-07
334,1492,1489,7.9442e-08
335,1328,1618,3.9721e-08
336,189,176,2.4627e-06
337,687,689,1.5888e-07
338,1070,1058,9.7079e-05
339,1282,1427,3.5352e-06
340,929,761,7.9442e-08
341,696,220,3.9721e-08
342,1252,1669,3.9721e-08
343,1067,959,3.9721e-08
344,184,304,3.9721e-08
345,94,215,3.9721e-08
346,795,784,3.5219e-06
347,1071,1387,3.9721e-08
348,562,573,3.2571e-06
349,1311,1336,3.9721e-08
350,1592,1602,3.9721e-08
351,417,1130,3.9721e-08
352,1117,1273,3.0056e-06
353,1315,1445,3.9721e-08
354,1604,1473,9.0035e-07
355,202,188,7.9442e-08
356,536,692,2.8334e-06
357,1040,1041,9.6933e-05
358,852,854,7.9442e-08
359,598,310,1.5888e-07
360,841,1419,5.2962e-08
361,605,618,2.6613e-06
362,1045,1021,3.3101e-07
363,1396,1291,3.9721e-08
364,1382,1701,3.9721e-08
365,1543,1397,7.9442e-08
366,1121,1398,1.3240e-07
367,1665,1664,9.8230e-05
368,407,105,7.9442e-08
369,94,57,3.9721e-08
370,1614,1629,7.9442e-08
371,895,871,1.9861e-07
372,1031,1187,3.0983e-06
373,1324,1455,5.2962e-07
374,844,545,7.9442e-08
375,1072,772,3.9721e-08
376,1570,1567,3.9721e-08
377,1575,1574,9.7264e-05
378,597,887,7.9442e-08
379,763,595,1.1916e-07
380,1545,1559,2.7805e-07
381,749,604,3.6676e-06
382,364,510,3.9721e-08
383,1249,1404,7.9442e-07
384,383,83,1.1916e-07
385,168,145,3.9721e-08
386,673,565,3.9721e-08
387,897,1040,3.8530e-06
388,1076,763,3.9721e-08
389,1422,1003,7.9442e-08
390,382,238,9.6959e-05
391,1417,1705,2.6481e-07
392,1714,1713,9.8045e-05
393,1486,1507,3.9721e-08
394,1532,1396,3.9721e-08
395,582,151,3.9721e-08
396,1689,1665,1.1916e-07
397,1541,1696,8.4739e-07
398,822,678,9.7079e-05
399,589,745,3.9324e-06
400,1323,1012,7.9442e-08
401,607,608,9.6973e-05
402,1708,1518,3.9721e-08
403,483,770,7.9442e-08
404,192,469,3.9721e-08
405,102,104,1.5888e-07
406,962,1225,3.9721e-08
407,1518,1374,9.7012e-05
408,729,754,3.9721e-08
409,824,838,3.9721e-08
410,1117,1107,1.5888e-07
411,367,380,3.3631e-06
412,44,177,8.0766e-07
413,962,684,3.9721e-08
414,263,81,3.9721e-08
415,1266,1374,3.9721e-08
416,1706,1539,7.9442e-08
417,309,307,1.5888e-07
418,1067,1223,3.0850e-06
419,348,351,3.9721e-08
420,295,320,3.9721e-08
421,500,642,3.9721e-08
422,871,909,7.9442e-08
423,1427,1403,3.1777e-07
424,486,501,3.9721e-08
425,915,591,3.9721e-08
426,806,1080,5.2962e-08
427,721,876,6.6202e-07
428,739,309,3.9721e-08
429,559,848,3.0453e-07
430,1313,1204,7.9442e-08
431,188,21,7.9442e-08
432,536,391,3.3233e-06
433,995,671,7.9442e-08
434,1553,1386,3.9721e-08
435,958,994,5.2962e-08
436,1642,1619,1.1916e-07
437,1539,1707,3.9721e-08
438,891,461,3.9721e-08
439,319,44,3.9721e-08
440,176,310,7.9442e-08
441,358,514,2.8864e-06
442,416,261,7.2822e-07
443,1317,1301,3.9721e-08
444,1614,1493,7.9442e-08
445,1313,1638,7.9442e-08
446,1419,1561,5.2962e-08
447,781,496,3.9721e-08
448,1508,1664,4.5017e-06
449,526,657,8.4739e-07
450,666,941,3.9721e-08
451,413,424,2.6878e-06
452,1492,1271,1.3240e-08
453,180,469,1.1916e-07
454,53,65,9.9647e-05
455,219,377,3.9721e-08
456,39,50,3.4160e-06
457,332,56,7.9442e-08
458,1217,1074,2.6348e-06
459,975,806,3.9721e-08
460,1330,883,3.9721e-08
461,636,494,7.9442e-08
462,1664,1663,9.8244e-05
463,855,844,2.8070e-06
464,1563,1119,5.2962e-08
465,1189,1212,9.2683e-08
466,224,332,3.9721e-08
467,1669,1359,3.9721e-08
468,893,1060,3.9721e-08
469,274,129,3.1909e-06
470,772,640,3.5219e-06
471,539,695,3.7470e-06
472,663,1093,3.9721e-08
473,1220,1242,3.9721e-08
474,1493,1302,3.9721e-08
475,1396,978,3.9721e-08
476,804,817,2.2244e-06
477,52,62,7.9442e-08
478,345,44,3.9721e-08
479,255,529,7.9442e-08
480,610,608,3.9721e-08
481,792,493,3.9721e-08
482,575,418,1.5888e-07
483,527,515,9.9541e-05
484,942,931,3.1909e-06
485,377,643,3.9721e-08
486,393,358,3.9721e-08
487,1481,1479,1.1916e-07
488,803,815,1.0051e-04
489,570,558,9.7767e-05
490,476,753,7.9442e-08
491,494,638,9.6615e-05
492,1330,1650,3.9721e-08
493,669,810,3.9721e-08
494,247,834,3.9721e-08
495,1248,1105,2.4362e-06
496,397,423,3.9721e-08
497,1361,1494,8.2090e-07
498,436,435,9.8217e-05
499,627,928,3.9721e-08
500,888,864,1.5888e-07
501,1328,1485,5.8258e-07
502,69,188,2.3833e-07
503,482,49,3.9721e-08
504,523,813,3.9721e-08
505,175,22,3.9721e-08
506,1600,1301,7.9442e-08
507,627,1085,3.9721e-08
508,1123,942,3.9721e-08
509,207,353,3.9721e-08
510,689,674,3.9721e-08
511,541,385,2.9394e-06
512,1480,1203,3.9721e-08
513,527,850,3.9721e-08
514,396,240,3.7470e-06
515,269,126,2.0787e-06
516,594,737,3.0850e-06
517,1071,785,3.9721e-08
518,1661,1649,9.8244e-05
519,481,504,1.1916e-07
520,1078,1079,9.6509e-05
521,1313,1625,7.9442e-08
522,1636,1637,9.8561e-05
523,304,317,3.6411e-06
524,896,883,2.9791e-06
525,951,663,1.5888e-07
526,1504,1516,9.9607e-05
527,1073,917,3.1115e-06
528,831,1133,3.9721e-08
529,478,479,9.6575e-05
530,409,244,3.9721e-08
531,1532,1530,1.3240e-07
532,925,772,3.9721e-08
533,395,825,3.9721e-08
534,692,561,6.0906e-07
535,141,277,3.9721e-08
536,328,484,3.8265e-06
537,625,626,9.7237e-05
538,992,859,4.6341e-07
539,1072,1215,3.0056e-06
540,1570,1426,9.7277e-05
541,604,758,9.2683e-08
542,597,764,1.9861e-07
543,671,645,7.9442e-08
544,1672,1674,1.1916e-07
545,1545,1436,3.9721e-08
546,583,441,3.9721e-08
547,1172,1339,7.9442e-08
548,793,783,7.9442e-08
549,645,790,2.5819e-06
550,1659,1661,3.9721e-08
551,1719,1710,3.9721e-08
552,1406,973,3.9721e-08
553,1130,564,3.9721e-08
554,103,212,7.9442e-08
555,1189,937,3.9721e-08
556,1461,1172,1.7213e-07
557,306,438,3.0585e-06
558,73,385,7.9442e-08
559,382,405,7.9442e-08
560,1267,1245,3.9721e-08
561,832,1422,3.9721e-08
562,59,82,3.9721e-08
563,628,759,2.3833e-07
564,905,1034,3.9721e-08
565,391,115,2.1185e-07
566,783,769,9.2683e-08
567,1287,1417,7.9442e-08
568,1133,1121,9.7979e-05
569,429,127,3.9721e-08
570,977,1003,3.9721e-08
571,962,1116,3.9721e-08
572,1061,496,3.9721e-08
573,729,895,3.9721e-08
574,1651,1520,3.1777e-07
575,72,86,3.9721e-08
576,1086,797,7.9442e-08
577,1626,1506,1.5888e-07
578,886,1043,1.5888e-07
579,1289,1277,9.7489e-05
580,1056,720,3.9721e-08
581,1167,1320,3.9721e-08
582,1720,1719,9.9329e-05
583,980,680,3.9721e-08
584,450,463,2.2641e-06
585,512,382,3.9721e-08
586,1208,907,1.5888e-07
587,173,1324,3.9721e-08
588,1086,1208,7.9442e-08
589,309,440,1.2314e-06
590,1503,1212,3.9721e-08
591,719,717,1.3240e-07
592,1625,1662,3.9721e-08
593,1630,1461,3.9721e-08
594,1351,1228,3.9721e-08
595,1611,1599,9.9065e-05
596,306,1017,3.9721e-08
597,1265,1151,3.9721e-08
598,534,690,2.7408e-06
599,1510,1655,2.3833e-06
600,901,725,3.9721e-08
601,1042,898,9.7343e-05
602,866,1154,1.5888e-07
