#tor_pair_id,src,dst,pdf_num_bytes
0,1389,1384,5.6253e-05
1,238,226,2.6488e-05
2,1457,1456,5.8227e-04
3,1626,1625,6.0071e-05
4,647,660,4.6513e-05
5,1348,295,3.1920e-07
6,1466,1498,8.4444e-10
7,1248,755,8.6068e-05
8,113,84,4.6623e-05
9,761,800,1.1456e-04
10,427,398,5.8293e-05
11,1197,1195,5.8241e-05
12,1092,691,7.1017e-06
13,85,87,6.6625e-04
14,633,591,6.2834e-05
15,812,906,7.8402e-05
16,249,342,1.0704e-05
17,1348,1019,7.1017e-06
18,1507,1524,6.4954e-06
19,500,496,8.6665e-04
20,83,328,7.6405e-05
21,818,813,3.1569e-04
22,1604,1199,2.1341e-05
23,983,1025,4.1872e-05
24,1344,301,4.2034e-05
25,442,553,7.7367e-05
26,391,400,8.0357e-06
27,728,2,3.5129e-05
28,183,786,6.6072e-05
29,1623,1630,6.6631e-04
30,23,197,8.6838e-04
31,1632,1199,9.0000e-06
32,358,220,1.6605e-05
33,1507,1493,5.8834e-05
34,2,64,3.9621e-05
35,1638,1209,7.2013e-06
36,1624,1623,8.6166e-06
37,45,47,5.4714e-04
38,728,719,7.1000e-06
39,1229,785,1.2591e-04
40,664,631,8.6082e-06
41,337,369,5.6214e-06
42,361,123,8.1282e-04
43,508,510,7.5256e-04
44,1030,1025,8.0357e-06
45,901,903,6.6820e-04
46,722,100,1.5217e-05
47,390,404,6.4734e-04
48,361,4,2.8103e-05
49,1081,1071,6.2618e-05
50,2,644,3.8464e-05
51,943,914,5.9405e-04
52,1283,1280,6.2618e-05
53,1485,858,6.8670e-06
54,1626,1384,9.0794e-06
55,1698,1613,5.4297e-06
56,812,4,6.9176e-06
57,599,972,4.1867e-05
58,1600,1603,7.4246e-05
59,380,6,6.9176e-06
60,312,286,7.8134e-05
61,1343,1673,8.6068e-05
62,1540,891,1.0702e-05
63,1485,956,3.5993e-05
64,1383,1393,7.7060e-05
65,1348,500,1.5605e-06
66,492,494,6.7225e-04
67,380,347,1.4827e-04
68,113,112,5.4363e-04
69,494,471,1.8909e-05
70,18,197,8.0205e-06
71,865,878,7.1980e-06
72,238,984,7.7367e-05
73,1012,1003,6.0529e-06
74,1092,663,6.2779e-05
75,363,377,4.2479e-04
76,1304,447,9.2753e-06
77,1673,1562,9.0400e-05
78,722,1216,6.4037e-04
79,633,619,6.6642e-04
80,249,370,9.4938e-05
81,1081,1382,7.0983e-06
82,1389,1680,1.1746e-04
83,1284,175,1.7328e-06
84,633,724,6.2834e-05
85,1348,991,6.2779e-05
86,1497,3,1.2106e-05
87,1687,1714,5.9970e-05
88,971,224,1.9674e-04
89,1673,0,1.7294e-05
90,1485,1570,7.1912e-06
91,1271,1642,1.5605e-06
92,493,536,3.3274e-05
93,1615,1712,7.2013e-06
94,728,111,7.1000e-06
95,785,169,4.1759e-05
96,1195,1634,6.4528e-04
97,442,444,7.7367e-05
98,358,248,1.7834e-06
99,1507,1521,6.6971e-04
100,2,36,3.8464e-05
101,1096,1100,8.4346e-04
102,1360,1345,6.0529e-06
103,318,1049,6.4718e-06
104,1299,1310,6.5496e-05
105,35,5,5.3711e-05
106,1719,1718,1.0418e-03
107,230,224,5.8563e-05
108,1709,1704,6.5604e-05
109,758,650,1.0217e-04
110,1449,1455,5.9708e-05
111,2,616,3.9621e-05
112,976,963,8.0836e-05
113,785,791,9.5095e-05
114,482,1235,4.4619e-04
115,348,347,8.3430e-06
116,312,314,8.8286e-04
117,815,808,7.9394e-06
118,1682,1385,6.9176e-06
119,1540,863,9.4884e-05
120,716,739,8.6622e-06
121,1497,1586,1.3350e-04
122,1386,1385,9.2614e-05
123,427,441,6.5231e-04
124,380,383,6.2890e-05
125,494,499,2.7816e-06
126,32,6,7.4511e-05
127,296,298,8.3979e-04
128,1386,1403,2.4080e-04
129,1580,1483,1.1673e-05
130,528,529,6.2804e-04
131,633,752,6.6642e-04
132,689,646,7.1743e-06
133,249,255,9.5095e-05
134,1229,1284,6.8176e-04
135,1344,486,4.3201e-05
136,1382,1378,7.8196e-04
137,297,273,2.8847e-04
138,857,873,3.5451e-05
139,785,4,1.6213e-07
140,1344,277,1.1147e-06
141,1087,1176,7.2013e-06
142,83,94,7.6513e-05
143,664,657,8.6838e-04
144,2,8,3.9621e-05
145,1096,692,1.7831e-04
146,943,957,6.6971e-04
147,617,736,8.4168e-04
148,983,977,4.2088e-05
149,361,418,7.1635e-05
150,35,33,6.3421e-04
151,382,456,2.0668e-04
152,901,765,1.1241e-05
153,41,720,1.0376e-05
154,294,1026,8.9156e-04
155,867,860,6.5258e-06
156,1185,1191,7.4351e-05
157,1369,1410,5.4236e-05
158,1251,1230,8.1397e-05
159,382,347,2.5889e-05
160,1602,1616,8.4168e-04
161,348,351,7.6351e-05
162,722,44,1.5820e-04
163,1114,1142,1.0952e-05
164,285,298,5.7793e-06
165,1248,1001,9.5576e-04
166,2,588,3.9621e-05
167,1383,1610,7.7112e-05
168,2,713,3.9621e-05
169,1369,1372,5.4236e-05
170,492,528,2.3911e-05
171,418,367,7.1372e-05
172,1457,1454,5.1156e-06
173,1271,1266,6.5548e-05
174,1208,1212,5.7524e-04
175,114,113,7.4405e-05
176,574,1425,7.1980e-06
177,1497,1550,2.7360e-07
178,1229,127,1.5605e-06
179,1457,1442,4.8145e-05
180,558,1425,7.5273e-06
181,1248,583,3.1920e-07
182,1122,1120,1.0329e-03
183,1383,1183,3.5102e-05
184,32,34,8.9145e-04
185,508,1363,7.2807e-06
186,363,432,3.4495e-05
187,848,836,7.0071e-06
188,298,301,8.6200e-06
189,1168,1175,7.2081e-06
190,503,500,7.6459e-05
191,35,722,6.9176e-06
192,812,822,6.0529e-06
193,743,738,7.4297e-05
194,1386,1375,3.5015e-05
195,1168,1062,6.5712e-05
196,689,674,6.4789e-05
197,1229,1320,3.1920e-07
198,1342,1561,8.3481e-06
199,1589,1592,5.3753e-05
200,1092,1120,6.6798e-04
201,297,269,9.4323e-04
202,249,4,4.2046e-05
203,1540,1572,8.4444e-10
204,1339,1453,5.8295e-05
205,1277,1273,9.1410e-04
206,212,239,1.1241e-05
207,1615,1642,6.5548e-05
208,206,372,6.9176e-06
209,580,577,6.2456e-05
210,1277,1499,9.9442e-05
211,358,19,4.7592e-06
212,1507,1528,5.8994e-05
213,722,585,1.4626e-05
214,1719,1609,4.3192e-04
215,599,596,4.1975e-05
216,637,641,2.8967e-04
217,1266,1267,5.6227e-04
218,769,167,5.4130e-05
219,1507,1255,1.1241e-05
220,936,912,7.7823e-06
221,901,930,7.1085e-06
222,867,888,6.0071e-05
223,1251,1258,9.0686e-04
224,1087,1392,7.2013e-06
225,2,673,3.9621e-05
226,758,754,5.2995e-04
227,285,270,5.3659e-05
228,1229,735,6.8008e-04
229,1284,1312,6.4539e-04
230,580,5,8.6470e-06
231,45,42,5.0649e-06
232,1251,1480,1.1147e-06
233,1075,1078,7.7004e-05
234,1090,1122,8.4444e-10
235,318,313,6.4718e-06
236,1344,1237,1.1673e-05
237,114,2,3.7831e-07
238,238,227,7.7367e-05
239,1600,1205,3.1769e-05
240,1248,756,1.6475e-05
241,864,653,6.2738e-05
242,848,2,5.0963e-05
243,348,335,7.6351e-05
244,1248,611,1.5605e-06
245,1197,1194,6.4751e-06
246,1251,758,1.4485e-05
247,85,86,6.2725e-05
248,633,590,7.1051e-06
249,596,582,6.8420e-04
250,812,907,8.6487e-06
251,1114,7,2.4644e-05
252,1043,1,2.2482e-05
253,1012,1090,7.8730e-05
254,493,563,2.9690e-05
255,211,261,8.2783e-05
256,500,497,7.7313e-05
