#tor_pair_id,src,dst,pdf_num_bytes
0,2368,2395,2.1951e-06
1,1706,1707,2.8691e-05
2,3839,3842,6.5770e-06
3,3839,3853,1.7060e-05
4,2368,2382,6.0345e-06
5,2368,2355,4.9327e-06
6,1706,1702,3.6345e-05
7,2985,2998,1.8316e-05
8,3839,3823,7.6954e-06
9,3839,58,2.3172e-06
10,3839,3843,7.6746e-06
11,1706,1717,4.4570e-05
12,2985,2590,2.3285e-03
13,3839,55,1.5366e-05
14,2368,2404,3.5627e-05
15,2368,2345,1.6442e-05
16,3839,3848,4.9536e-06
17,1706,1681,1.9209e-05
18,3839,3873,5.7570e-05
19,2985,2970,2.9659e-05
20,2368,2385,6.5812e-06
21,3839,3879,3.2906e-05
22,2368,2389,2.1926e-05
23,2985,2516,7.5243e-06
24,3839,3835,1.6442e-06
25,2368,2392,8.7721e-06
26,1706,1708,2.3170e-05
27,2985,3004,6.0929e-06
28,3839,3871,2.7627e-06
29,2985,37,4.5701e-05
30,2985,2717,5.9260e-06
31,2368,2379,9.8697e-06
32,2368,2352,1.6442e-06
33,1706,1723,4.8276e-05
34,2985,2993,3.5247e-05
35,1706,16,3.8140e-05
36,1706,32,1.5326e-06
37,1706,1718,4.2287e-05
38,3839,10,3.6219e-05
39,2368,2373,4.3861e-06
40,1706,1733,1.6651e-06
41,3839,3845,4.4069e-06
42,2985,46,3.7090e-07
43,2985,2948,1.6651e-06
44,3839,3822,6.5979e-06
45,2985,3010,2.7627e-06
46,3839,1360,6.5812e-06
47,2985,35,8.4288e-04
48,3839,16,7.7207e-04
49,2368,2386,8.7763e-06
50,1706,1682,1.7035e-05
51,2985,2986,2.4221e-05
52,1706,27,3.1319e-04
53,1706,1697,2.5803e-05
54,2985,3007,1.1656e-05
55,2985,2958,1.1531e-05
56,2368,2376,6.5812e-06
57,2368,2365,1.6442e-06
58,1706,1724,4.6677e-05
59,1706,1739,2.7627e-06
60,3839,3826,3.3094e-06
61,2368,15,2.6733e-04
62,3839,1092,5.7933e-05
63,1706,1677,2.0854e-05
64,1706,1734,2.7627e-06
65,3839,3862,1.9205e-05
66,2985,2969,1.6505e-05
67,1706,1103,3.8110e-05
68,1706,1688,1.2628e-05
69,2985,2960,9.9072e-06
70,2985,2956,9.9072e-06
71,3839,23,8.3048e-05
72,2368,2399,4.7137e-05
73,1706,1687,1.3705e-05
74,3839,3832,5.4836e-06
75,2368,1576,1.9410e-01
76,2368,2370,5.4836e-06
77,2368,2359,5.4836e-06
78,1706,1698,1.9188e-05
79,2985,3002,9.3856e-06
80,2368,22,1.4939e-03
81,3839,38,7.2164e-05
82,2368,2362,3.2885e-06
83,1706,1713,2.3149e-05
84,2368,2349,6.5770e-06
85,1706,1740,1.6651e-06
86,2368,1095,4.6131e-05
87,3839,3825,4.9327e-06
88,3839,12,2.2414e-04
89,3839,3852,9.9114e-06
90,1706,1678,2.0829e-05
91,2985,2974,1.1510e-05
92,3839,3866,8.2421e-06
93,2985,36,1.9996e-03
94,3839,3840,4.9327e-06
95,1706,1693,2.1384e-05
96,3839,1397,3.6343e-01
97,2368,34,2.1987e-03
98,1706,17,3.8415e-05
99,1706,1704,5.0746e-05
100,2985,2976,1.8233e-05
101,3839,3829,4.9327e-06
102,1706,1694,6.6187e-06
103,2368,2356,3.2885e-06
104,1706,1703,4.6844e-05
105,2985,2997,1.6042e-05
106,2368,19,3.5140e-04
107,1706,1738,1.6651e-06
108,2985,2959,1.3217e-05
109,1706,1714,2.4793e-05
110,2985,29,1.2573e-04
111,2368,2405,4.2750e-05
112,2368,2346,1.2607e-05
113,1706,1729,6.0929e-06
114,3839,3827,3.2885e-06
115,3839,3828,3.2885e-06
116,1706,2102,1.5145e-01
117,3839,3872,1.0976e-06
118,3839,3854,1.6572e-05
119,3839,3863,2.9112e-05
120,3839,28,1.4185e-05
121,2368,2390,1.9188e-05
